source_node,target_node,edge_type,weight
Vientiane,Bang Yi-khan,origin_to_community,1
Bang Yi-khan,Elite marriage incorporation,community_to_labor,1
Bang Yi-khan,Government service,community_to_labor,1
Lao Phuan,Bang Khun Phrom,origin_to_community,1
Bang Khun Phrom,Naval craft production,community_to_labor,1
Champasak,Thewet,origin_to_community,1
Thewet,Goldsmithing / blacksmithing,community_to_labor,1
Bang Sai Kai / Lao captives,Ban Kruai / Yannawa,origin_to_community,1
Ban Kruai / Yannawa,Sawmills and shipyards,community_to_labor,1
Ban Kruai / Yannawa,Stevedoring / warehousing,community_to_labor,1
Lao Phuan,Ban Lao Phuan,origin_to_community,1
Ban Lao Phuan,Palace landscaping,community_to_labor,1
Ban Lao Phuan,Palace sanitation,community_to_labor,1
Ban Kraba,Wickerware,community_to_labor,1
Ban Kraba,Petty commerce,community_to_labor,1
Lao goldsmith captives,Ban Ti Thong / Ban Chang Thong,origin_to_community,1
Ban Ti Thong / Ban Chang Thong,Gold leaf and filigree,community_to_labor,1
Ban Ti Thong / Ban Chang Thong,Military / police insignia and munitions,community_to_labor,1
